unix_time;unity_time;delta_time;isQuizActive;quizPlaythroughNumber;currentQuestionNumber;currentQuestionIdx;answerPressTime;answerPermutation;chosenAnswerString;displayedFeedbackText;displayedFeedbackObjects;displayedFeedbackVideo;questionIdx;questionVideo;questionObject;questionText;answerObject0;answerObject1;answerObject2;answerObject3;answerText0;answerText1;answerText2;answerText3;correctAnswers0;correctAnswers1;correctAnswers2;correctAnswers3;feedbackVideo;feedbackObject;feedbackText;quizMode;questionOrdering;answersAmount;answersOrdering;questionType;answerType;feedbackMode;feedbackType
1695642175394;15,09212;0,0110451;True;1;1;3;2537;[2,0,3,1];2;The correct boulder looks like this:;[Quiz Answer Boulder];;3;;Quiz Catapult;"Which boulder does the catapult shoot?";Interactable Boulder;Interactable Boulder Pink;Interactable Boulder Tiles;Interactable Boulder Wood;"";"";"";"";True;False;False;False;;Quiz Answer Boulder;The correct boulder looks like this:;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642182857;22,55797;0,0110164;True;1;2;1;4452;[2,0,1,3];3;;[];QuizMintingFeedback;1;QuizMintingQuestion;;"";;;;;"Verse";"Reverse";"Inverse";"Obverse";False;False;False;True;QuizMintingFeedback;;;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642203611;43,31283;0,012115;True;1;3;4;11410;[2,0,1,3];3;Mughal;[Quiz Coin Die];;4;;Quiz Coin Die;"Which empire used this coin die?";;;;;"Roman";"Mughal";"Greek";"Mongolian";False;True;False;False;;Quiz Coin Die;Mughal;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642212323;52,02322;0,0129523;True;1;4;2;5698;[0,1,2,-1];1;The <color="red">red</color> coin made no sounds.;[];;2;QuizBouncing;;"";BlueTueCoin;GreenTueCoin;RedTueCoin;;"";"";"";"";False;False;True;False;;;The <color="red">red</color> coin made no sounds.;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642217308;57,0084;0,0220739;True;1;5;0;1976;[1,2,0,-1];0;This coin is just an image on a cylinder;[Quiz Answer TueCoin4];;0;;;"Which Coin is not a 3D scan?";Greek Coin;Flat Greek Coin;Another Roman Coin;;"";"";"";"";False;True;False;False;;Quiz Answer TueCoin4;This coin is just an image on a cylinder;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642256359;96,05986;0,0112909;True;2;1;1;34318;[2,3,1,0];1;;[];QuizMintingFeedback;1;QuizMintingQuestion;;"";;;;;"Verse";"Reverse";"Inverse";"Obverse";False;False;False;True;QuizMintingFeedback;;;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642271103;110,8022;0,0219046;True;2;2;2;5397;[2,1,0,-1];2;The <color="red">red</color> coin made no sounds.;[];;2;QuizBouncing;;"";BlueTueCoin;GreenTueCoin;RedTueCoin;;"";"";"";"";False;False;True;False;;;The <color="red">red</color> coin made no sounds.;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642284588;124,2879;0,0213295;True;2;3;0;10472;[0,2,1,-1];2;This coin is just an image on a cylinder;[Quiz Answer TueCoin4];;0;;;"Which Coin is not a 3D scan?";Greek Coin;Flat Greek Coin;Another Roman Coin;;"";"";"";"";False;True;False;False;;Quiz Answer TueCoin4;This coin is just an image on a cylinder;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642289209;128,9107;0,0099606;True;2;4;4;1620;[1,3,0,2];1;Mughal;[Quiz Coin Die];;4;;Quiz Coin Die;"Which empire used this coin die?";;;;;"Roman";"Mughal";"Greek";"Mongolian";False;True;False;False;;Quiz Coin Die;Mughal;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
1695642293844;133,5437;0,0112414;True;2;5;3;1633;[1,0,2,3];1;The correct boulder looks like this:;[Quiz Answer Boulder];;3;;Quiz Catapult;"Which boulder does the catapult shoot?";Interactable Boulder;Interactable Boulder Pink;Interactable Boulder Tiles;Interactable Boulder Wood;"";"";"";"";True;False;False;False;;Quiz Answer Boulder;The correct boulder looks like this:;SingleChoice;Randomize;DifferingAmounts;Randomize;DifferingTypes;DifferingTypes;AlwaysCorrect;DifferingTypes
